"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AC016831.7",0,-0.5930093408568,0.043,0.102,0
"MIR29A",0,-0.381296834728247,0.097,0.143,0
"LINC-PINT",0,-0.723722611957755,0.328,0.436,0
"PODXL",0,0.258136733333989,0.156,0.114,0
"EXOC4",0,-0.285011336964693,0.365,0.416,0
"ATP6V0A4",0,0.359663872275912,0.232,0.152,0
"TMEM213",0,0.325903207417978,0.188,0.125,0
"TPK1",0,-0.345800362245146,0.069,0.113,0
"TMEM176A",0,0.386332593885378,0.117,0.052,0
"ARHGAP6",0,0.426907162356802,0.404,0.35,0
"TMSB4X",0,-0.808534865676592,0.334,0.417,0
"TMEM27",0,0.520251228368211,0.135,0.057,0
"REPS2",0,-0.296150951968713,0.076,0.112,0
"RPS6KA3",0,-0.353634559994049,0.145,0.191,0
"WDR13",0,0.285724845579156,0.14,0.097,0
"PCSK1N",0,0.573428292139864,0.138,0.052,0
"CLCN5",0,0.367567233928906,0.253,0.171,0
"COX7B",0,0.343695072283337,0.287,0.198,0
"DIAPH2",0,-0.422856552556988,0.162,0.229,0
"NGFRAP1",0,0.309209436748317,0.203,0.114,0
"TCEAL4",0,0.276676372720204,0.192,0.118,0
"ACSL4",0,-0.51007285858696,0.173,0.228,0
"DOCK11",0,-0.457434553726694,0.056,0.116,0
"PGRMC1",0,0.353491652855563,0.132,0.06,0
"NDUFA1",0,0.305311991683869,0.258,0.175,0
"XPNPEP2",0,0.368285783016661,0.114,0.044,0
"HS6ST2",0,0.522761085670452,0.117,0.043,0
"DEFB1",0,0.509587630814716,0.303,0.158,0
"MSRA",0,0.33804001882612,0.336,0.263,0
"PSD3",0,-0.554254662339606,0.09,0.171,0
"EPHX2",0,0.465712101797721,0.234,0.125,0
"LYN",0,-0.355043992141449,0.07,0.108,0
"RP11-513O17.2",0,0.62829015831873,0.195,0.122,0
"FAM110B",0,-0.272608328933007,0.095,0.137,0
"RALYL",0,0.266817105396845,0.275,0.207,0
"SLC26A7",0,0.333165348434733,0.18,0.134,0
"HRSP12",0,0.748672683793181,0.175,0.069,0
"DPYS",0,0.55394561492092,0.257,0.148,0
"EXT1",0,-0.558309885036036,0.306,0.365,0
"ZHX2",0,-0.358117709804488,0.235,0.295,0
"FAM49B",0,-0.416678580136718,0.239,0.313,0
"ASAP1",0,-0.618767586114463,0.195,0.265,0
"NDRG1",0,0.295557319394121,0.358,0.256,0
"SLC45A4",0,0.387526385461336,0.181,0.129,0
"PPP1R16A",0,0.313570948790801,0.125,0.063,0
"KANK1",0,0.393218893919131,0.389,0.335,0
"RFX3",0,-0.382562863838135,0.149,0.199,0
